項番,出願番号,文献番号,"出願日
公知日
登録日",発明の名称,出願人,FI
1001,特願2014-226356,特開2016-092648,"2014/11/06
2016/05/23
-",Ａ／Ｄ変換装置,合同会社ＳＰＣｈａｎｇｅ 他,"H03M1/10@A 
H03M1/46"
1002,特願2014-224962,特開2016-092601,"2014/11/05
2016/05/23
2018/10/12",推定装置、推定方法、およびプログラム,日本電信電話株式会社,H04M3/56@Z
1003,特願2014-222590,特開2016-092513,"2014/10/31
2016/05/23
-",画像取得装置、ブレ軽減方法及びプログラム,カシオ計算機株式会社,"H04N5/232@Z 
G03B15/00@Q 
G03B5/00@F 
他"
1004,特願2014-222600,特開2016-091166,"2014/10/31
2016/05/23
2017/02/17",機械学習装置、機械学習方法、分類装置、分類方法、プログラム,カシオ計算機株式会社,"G06N99/00,153 
G06F17/30,210@D 
G06T7/00,350@B"
1005,特願2014-224738,特開2016-090371,"2014/11/04
2016/05/23
-",センサ情報を処理する情報処理装置、情報管理システム、情報表示システム、情報処理方法、プログラム、記録媒体及びサーバ装置,独立行政法人産業技術総合研究所,"G01C21/26@P 
H04M1/00@R"
1006,特願2014-223764,特開2016-090346,"2014/10/31
2016/05/23
2017/05/26",電池診断装置および電池診断方法,エンネット株式会社,"G01R31/36@A 
H01M10/48@P"
1007,特願2014-217908,特開2016-085117,"2014/10/27
2016/05/19
-",デジタルカメラ画像データを用いた鮮度判定方法,独立行政法人農業・食品産業技術総合研究機構 他,"G01N21/27@A 
G06T7/00,350@B 
G06T7/00,350@C"
1008,特願2017-519619,特表2018-503885,"2015/11/13
2016/05/19
-",医療前兆イベント予測,ゾール メディカル コーポレイション,"G06Q50/24 
A61B5/04,312@Q 
A61B5/04,312@A 
他"
1009,特願2017-525590,特表2017-535340,"2015/11/16
2016/05/19
-",純粋幾何学的機械学習に基づいて血流予備量比を求める方法及びシステム,シーメンス ヘルスケア ゲゼルシヤフト ミツト ベシユレンクテル ハフツング,A61B5/00@G
1010,特願2014-204680,特開2016-076766,"2014/10/03
2016/05/12
2018/01/19",情報処理装置および情報処理方法,ソニー株式会社,"H04N19/103 
H03M7/30@Z 
H04N19/136 
他"
1011,特願2015-198445,特開2016-076217,"2015/10/06
2016/05/12
-",地域的ビッグデータノード、プロセスプラントの動作を向上する方法、プロセスプラント内で地域的ビッグデータをサポートするためのシステム,フィッシャー－ローズマウント システムズ，インコーポレイテッド,"G05B23/02,301@V"
1012,特願2014-205759,特開2016-076073,"2014/10/06
2016/05/12
-",データ処理装置、データ処理方法、及び、コンピュータ・プログラム,日本電気株式会社,"G06T7/20@C 
G06F17/30,210@D 
H04N5/76@B 
他"
1013,特願2017-543316,特表2018-504138,"2015/11/05
2016/05/12
-",機械学習および高次元転写データを使用して経気管支生検における特発性肺線維症を診断するシステムおよび方法,ベラサイト インコーポレイテッド,"C12Q1/68@A 
G01N33/50@P 
G01N33/53@M 
他"
1014,特願2017-522653,特表2017-534117,"2015/10/22
2016/05/12
-",最適化された解剖学的関心構造ラベリング,コーニンクレッカ フィリップス エヌ ヴェ,"G06Q50/24 
A61B5/00@D 
G16H10/00"
1015,特願2014-203411,特開2016-071800,"2014/10/01
2016/05/09
-",情報処理装置、情報処理方法及びプログラム,キヤノン株式会社,"G06T7/00,350@B 
G06T7/00,300@F"
1016,特願2014-201603,特開2016-071702,"2014/09/30
2016/05/09
-",オブジェクト検出装置、オブジェクト検出方法、及びプログラム,大日本印刷株式会社,"G06T7/00,300@B 
H04N5/232@Z 
G06T7/00,350@B 
他"
1017,特願2014-199949,特開2016-071597,"2014/09/30
2016/05/09
-",情報処理装置、情報処理方法及びプログラム,ソニー株式会社,"G06T7/00,350@B 
G06N99/00,153"
1018,特願2014-196722,特開2016-071412,"2014/09/26
2016/05/09
-",画像分類装置、画像分類システム、画像分類方法、及びプログラム,キヤノン株式会社,"G06F17/30,210@D 
G06T7/00,250 
G06F17/30,170@B 
他"
1019,特願2017-520996,特表2017-539114,"2015/10/28
2016/05/06
-",監視システム、監視方法およびプログラム,日本電気株式会社,"H04N7/18@D 
H04N7/18@U 
H04N7/18@K 
他"
1020,特願2017-542270,特表2017-533531,"2014/10/31
2016/05/06
-",フォーカスト・センチメント分類,ロングサンド リミテッド,"G06F17/30,210@D 
G06F17/30,170@A"
1021,特願2015-177807,特開2016-065225,"2015/09/09
2016/04/28
-",コークス炉の炭化室の炉壁表面状態判定装置、コークス炉の炭化室の炉壁表面状態判定方法、及びプログラム,新日鐵住金株式会社,"C10B29/00 
F27D1/00@V 
F27D21/02"
1022,特願2017-522385,特表2017-535857,"2015/10/23
2016/04/28
-",変換されたデータを用いた学習,ナショナル・アイシーティ・オーストラリア・リミテッド,"G06N99/00,150"
1023,特願2014-191104,特開2016-062411,"2014/09/19
2016/04/25
2017/10/20",情報分析装置、情報分析方法および情報分析プログラム,ヤフー株式会社,"G06Q30/02,150 
G06F17/30,210@D 
G06Q30/02,470 
他"
1024,特願2014-184613,特開2016-057925,"2014/09/10
2016/04/21
-",画像分類装置、画像分類システム、画像分類方法およびプログラム,キヤノン株式会社,"G06T7/00,350@B 
G06F17/30,170@B 
G06F17/30,210@D 
他"
1025,特願2017-518304,特表2017-538186,"2015/08/20
2016/04/21
2017/11/10",効率的な連続認証に対して挙動分析を使用するための方法およびシステム,クアルコム，インコーポレイテッド,"G06F21/31 
G06F21/55,320 
G06F21/57,370"
1026,特願2017-519304,特表2017-536741,"2015/09/23
2016/04/21
-",Ｐ２Ｐセッションのためのフロア調停に関連したマルチキャストアドレスに基づくマルチキャストシグナリング制御チャネルの確立,クアルコム，インコーポレイテッド,"H04W4/08 
H04W8/00,110 
H04W84/20 
他"
1027,特願2017-517265,特表2017-538185,"2015/08/11
2016/04/14
2017/11/10",ユーザのペルソナ情報に基づくモバイルデバイス挙動の挙動分析のための方法およびシステム,クアルコム，インコーポレイテッド,"G06F21/55,320 
G06F21/31 
G06F21/56,360"
1028,特願2014-172512,特開2016-048417,"2014/08/27
2016/04/07
-",サービス提供システムおよびプログラム,塚本 豊 他,"G06N99/00,150 
G06Q50/10 
G06Q30/02,140 
他"
1029,特願2017-516329,特表2017-537370,"2015/09/28
2016/04/07
-",ウェアラブルデバイスおよびモバイルデバイスを介した自然運動ベースの制御,マイクロソフト テクノロジー ライセンシング，エルエルシー,"G06F3/01,570 
G06F9/06,650@A 
H04M1/00@R 
他"
1030,特願2014-233405,特開2016-042346,"2014/11/18
2016/03/31
-",人のソーシャルタイプを決定する方法、システム及びプログラム,富士ゼロックス株式会社,"G06F17/30,210@D 
G06T7/20,300@B 
G06F17/30,210@A 
他"
1031,特願2014-224963,特開2016-042345,"2014/11/05
2016/03/31
-",推定装置、その方法およびプログラム,日本電信電話株式会社,"G06F3/01,310@A 
G06F3/16,320@E 
G10L15/00,200@U 
他"
1032,特願2014-166347,特開2016-042322,"2014/08/19
2016/03/31
-",データ分析装置、分析方法とそのプログラム,日本電気株式会社,"G06N5/04,580@L 
G06N5/02,120"
1033,特願2015-161175,特開2016-041247,"2015/08/18
2016/03/31
2016/12/16",医療用画像のコンピュータ支援による解析装置、および、医療用画像解析のためのコンピュータプログラム,シーメンス アクチエンゲゼルシヤフト,"A61B6/03,360@D 
A61B6/03,360@J 
A61B6/03,360@G"
1034,特願2017-516510,特表2017-536604,"2015/09/24
2016/03/31
-",ノンテクニカルロスを同定するための機械学習の利用,シー３，インク． 他,"G06Q50/06 
G06N99/00,150"
1035,特願2017-513240,特表2017-536595,"2015/09/14
2016/03/31
-",歩行者情報システム,ハーマン インターナショナル インダストリーズ インコーポレイテッド,"G08B21/24 
B60R21/00,626@C 
B60R21/00,624@C 
他"
1036,特願2017-516763,特表2017-530409,"2015/09/26
2016/03/31
-",ランニング範囲正規化を利用したニューラルネットワーク音声活動検出,サイファ，エルエルシー,"G10L25/84 
G10L15/04,300@Z"
1037,特願2015-045683,特開2016-036716,"2015/03/09
2016/03/22
-",血圧測定,タタ コンサルタンシー サービシズ リミテッド,"A61B5/02,634@F 
A61B5/02,310@A 
A61B5/022,400@F"
1038,特願2014-158663,特開2016-035688,"2014/08/04
2016/03/17
-",テキスト分析装置、テキスト分析方法、テキスト分析プログラムおよび記録媒体,日本電気株式会社,"G06F17/27@Z 
G06F17/30,170@A 
G06F17/30,220@A 
他"
1039,特願2014-157404,特開2016-035208,"2014/08/01
2016/03/17
2018/07/27",風力発電設備の応力推定装置および風力発電設備の応力推定方法、風力発電システム,株式会社日立製作所,"F03D1/06@A 
F03D11/00@Z 
F03D17/00 
他"
1040,特願2017-513221,特表2017-536594,"2015/08/28
2016/03/17
-",モバイルデバイス挙動のアグリゲートマルチアプリケーション挙動分析のための方法およびシステム,クアルコム，インコーポレイテッド,"G06F21/56,360 
G06F11/07,151 
G06F11/34,147 
他"
1041,特願2017-532225,特表2017-533790,"2015/09/03
2016/03/17
-",運動タスク解析のシステムおよび方法,ノバルティス アーゲー,"A61B10/00@H 
A61B5/10,310@A 
G06T7/00,350@B 
他"
1042,特願2017-513274,特表2017-532658,"2014/09/09
2016/03/17
2018/10/19",効率的な１対１結合のための方法,日本電気株式会社,"G06F17/30,340@D 
G06F17/30,180@D 
G06F17/30,412 
他"
1043,特願2017-514559,特表2017-527399,"2015/09/08
2016/03/17
-",疾患検出のための装置及び方法,レイドス イノベイションズ テクノロジー，インコーポレイティド,A61B5/00@G
1044,特願2017-511699,特表2017-527037,"2015/09/10
2016/03/17
-",コンピューティングインスタンスの起動時間,アマゾン テクノロジーズ インコーポレイテッド,"G06F9/06,640@Z 
G06F9/06,610@Z 
G06F9/06,620@R 
他"
1045,特願2014-156933,特開2016-033776,"2014/07/31
2016/03/10
-",大規模画像データベースの高速検索手法,インターナショナル・ビジネス・マシーンズ・コーポレーション,"G06F17/30,170@B 
G06F17/30,414@A 
G06T7/00,300@F"
1046,特願2017-512347,特表2017-532092,"2015/08/20
2016/03/10
-",解剖学的ランドマークベースの特徴に基づいた医用画像をセグメント化するためのシステム及び方法,インパック メディカル システムズ、 インク． 他,"A61B6/03,360@J 
A61B5/05,380 
G06T7/00,350@B 
他"
1047,特願2017-511917,特表2017-531251,"2015/09/01
2016/03/10
-",ウェブ・ベース広告のターゲティング方法,リアルアイズ・オーウー,"G06Q30/02,398 
G09F19/00@Z"
1048,特願2014-153506,特開2016-031629,"2014/07/29
2016/03/07
-",特徴選択装置、特徴選択システム、特徴選択方法、および、特徴選択プログラム,日本電信電話株式会社,"G06F21/00,156@C 
G06F21/56,320"
1049,特願2014-153706,特開2016-031282,"2014/07/29
2016/03/07
2018/08/31",宇宙天気予報システムを構築するための機械学習方法及び当該方法によって構築された宇宙天気予報方法,国立大学法人京都大学 他,"G01W1/02@B 
G01W1/00@Z"
1050,特願2015-209558,特開2016-028747,"2015/10/26
2016/03/03
2018/01/12",血管形状及び生理学から血流特性を推定するシステム及び作動方法,ハートフロー， インコーポレイテッド,"A61B5/02,800@Z 
A61B5/026,140"
1051,特願2017-531456,特表2017-529209,"2015/08/31
2016/03/03
-",機能を強化するために生理及び機械情報を結合する方法及びシステム,インサイファイ インコーポレイテッド,"A61B5/00@G 
A61N1/36"
1052,特願2015-093572,特開2016-028229,"2015/04/30
2016/02/25
-",データ処理装置、及びそれを有するデータ表示システム、試料情報取得システム、データ処理方法、プログラム、記憶媒体,キヤノン株式会社,"G01N21/27@A 
G01N27/62@D 
G01N21/65 
他"
1053,特願2017-505150,特表2018-500949,"2015/08/05
2016/02/25
-",音響信号を用いて血圧を測定する方法及び装置,コーニンクレッカ フィリップス エヌ ヴェ,"A61B5/02,634@A 
A61B5/022,400@A"
1054,特願2017-529968,特表2017-534130,"2014/12/19
2016/02/25
-",モバイルオファーをターゲティングおよび通信するための技術,オナボ モバイル リミテッド,"G06Q50/32 
H04M11/00,302 
G06Q50/00,300 
他"
1055,特願2017-508617,特表2017-530443,"2015/06/24
2016/02/25
2018/06/15",超音波を用いたモーダルボディタッチ,ソニー株式会社,"G06F3/01,515"
1056,特願2017-509745,特表2017-528673,"2015/06/10
2016/02/25
2018/10/05",ボイラ内のスケーリングを決定するシステム,インテル コーポレイション,"F24H1/00@G 
F22B37/38@E 
F24H1/18,503@Z"
1057,特願2015-198846,特開2016-026500,"2015/10/06
2016/02/18
-",培地情報登録システム、コロニー検出装置、プログラム及び衛生管理システム,大日本印刷株式会社,"C12M1/34@B 
G06Q50/04,100 
G06Q50/04"
1058,特願2017-507867,特表2017-532633,"2015/08/12
2016/02/18
-",多様体および超平面を用いる生物学的データのコンピュータ分析,メメド ダイアグノスティクス リミテッド,"G06F19/24 
G01N33/569@B 
G01N33/543,501@A 
他"
1059,特願2016-542510,再表2016/024424,"2015/05/13
2016/02/18
-",情報処理装置、情報処理方法、及び情報処理システム,ソニー株式会社,"G06F21/35 
G06F3/01,570"
1060,特願2014-147085,特開2016-024545,"2014/07/17
2016/02/08
2018/10/05",情報管理装置、情報管理システム、及び情報管理プログラム,株式会社ＮＴＴドコモ,"G06F17/30,340@A 
G06F19/00,130 
G06F13/00,560@A 
他"
1061,特願2017-504719,特表2017-528055,"2015/07/30
2016/02/04
-",データ分析手法を用いた認証を実行するためのシステム及び方法,ノック ノック ラブズ， インコーポレイテッド,"H04L9/00,675@B 
G06F21/31 
G06F21/32 
他"
1062,特願2017-511568,特表2017-526078,"2015/05/09
2016/02/04
-",実在および仮想のオブジェクトと対話するための生体力学ベースの眼球信号のためのシステムおよび方法,グーグル インコーポレイテッド,"G06F3/01,510 
A61B3/10@B 
G06T1/00,340@A 
他"
1063,特願2016-538314,再表2016/017533,"2015/07/23
2016/02/04
-",識別装置および識別方法,国立大学法人浜松医科大学 他,"G01N21/17@A 
G01N15/14@D 
G01N15/14@C 
他"
1064,特願2014-136732,特開2016-015016,"2014/07/02
2016/01/28
2018/06/01",動作認識装置及び動作認識方法,国立大学法人 奈良先端科学技術大学院大学,"A01K67/00@Z 
G06T7/00,350@B 
G06T7/20@Z 
他"
1065,特願2014-136484,特開2016-015006,"2014/07/02
2016/01/28
-",情報処理装置、端末装置、情報処理システム、及び課金方法,ソニー株式会社,"G06F9/46,465@A 
G06Q50/10,100 
H04M15/00@E 
他"
1066,特願2014-136207,特開2016-014987,"2014/07/01
2016/01/28
2018/05/25",入力支援装置、入力支援システムおよびプログラム,ＫＤＤＩ株式会社,"G06F3/048,653@A 
G06F17/22,510@C 
G06F17/22,520@S 
他"
1067,特願2015-151056,特開2016-013444,"2015/07/30
2016/01/28
2017/04/14",データ出力生成方法及びモニタ方法,ヴァレンセル，インコーポレイテッド,"A61B5/02,310@B 
A61B5/14,322 
H04R1/10,101@B 
他"
1068,特願2017-525307,特表2017-527929,"2015/07/22
2016/01/28
2018/10/26",コンピュータ・インフラストラクチャの管理におけるポリシーの自己調整のための半教師あり機械学習の活用,サイオス テクノロジー コーポレーション,"G06F9/06,610@A 
G06N99/00,153 
G06F9/44 
他"
1069,特願2017-503852,特表2017-526910,"2015/07/24
2016/01/28
-",撮像分光法用のコンパクトな多機能システム,エコール・ポリテクニーク・フェデラル・ドゥ・ローザンヌ （ウ・ペ・エフ・エル）,"G01J3/51 
G01J3/36 
H04N5/225,400 
他"
1070,特願2014-133799,特開2016-012258,"2014/06/30
2016/01/21
2018/07/13",学習プログラム及び情報処理装置,富士ゼロックス株式会社,"G06N99/00,153 
G06F17/30,210@D"
1071,特願2017-523189,特表2017-529811,"2015/07/16
2016/01/21
-",ビッグデータ環境におけるリソース管理,トゥプル，インコーポレイテッド,"H04W72/12 
H04L12/813 
H04L12/70,100@Z 
他"
1072,特願2017-501673,特表2017-527013,"2015/07/10
2016/01/21
-",サービスとしての適応特徴化,マイクロソフト テクノロジー ライセンシング，エルエルシー,"G06N99/00,150"
1073,特願2015-558265,再表2016/009585,"2015/06/03
2016/01/21
-",自律移動体とその制御方法,パナソニックＩＰマネジメント株式会社,G05D1/02@S
1074,特願2016-574238,特表2017-525410,"2015/07/06
2016/01/14
-",心電図（ＥＣＧ）信号において心イベントをノイズと区別するためのシステム及び方法,ゾール メディカル コーポレイション,"A61B5/04,312@A 
A61B5/04,310@B 
A61B5/04,310@M 
他"
1075,特願2014-120783,特開2016-001387,"2014/06/11
2016/01/07
2016/12/16",画像分類前処理装置、画像分類装置、画像分類前処理方法、画像分類方法及びプログラム,日本電信電話株式会社,"G06T7/00,300@B 
G06T7/00,350@B"
1076,特願2014-120693,特開2016-001381,"2014/06/11
2016/01/07
-",情報処理装置、情報処理方法、プログラム及び記録媒体,国立大学法人 東京大学,"G06F17/50,612@A 
B64F5/00@Z 
G06N99/00,153 
他"
1077,特願2015-116207,特開2016-000995,"2015/06/09
2016/01/07
-",統合型エネルギー供給、貯蔵設備、広域制御システムを用いた５効用発電多サイクルハイブリッド再生可能エネルギーシステム,フリース，ケヴィン，リー,"F02G1/057@A 
F03G6/00,551 
F01K3/02@C 
他"
1078,特願2016-575808,特表2017-530435,"2015/06/30
2016/01/07
2018/10/19",機械学習モデル評価のための対話型インターフェース,アマゾン・テクノロジーズ・インコーポレーテッド,"G06N99/00,150 
G06F3/0481"
1079,特願2016-575811,特表2017-529583,"2015/06/30
2016/01/07
2018/10/19",特徴処理トレードオフ管理,アマゾン・テクノロジーズ・インコーポレーテッド,"G06N99/00,150 
G06F17/30,220@Z"
1080,特願2016-575810,特表2017-527008,"2015/06/30
2016/01/07
-",機械学習のための特徴処理レシピ,アマゾン・テクノロジーズ・インコーポレーテッド,"G06N99/00,150"
1081,特願2016-575809,特表2017-524183,"2015/06/30
2016/01/07
2018/07/20",機械学習サービス,アマゾン・テクノロジーズ・インコーポレーテッド,"G06F9/46,465@B 
G06F9/50,150@B"
1082,特願2016-571089,特表2017-526566,"2015/06/23
2015/12/30
2018/09/07",無人飛行体における地面効果を利用した表面検出,アマゾン テクノロジーズ インコーポレイテッド,"B64C13/18@Z 
G01B21/02@A 
G01B21/00@C 
他"
1083,特願2016-573522,特表2017-526042,"2015/06/16
2015/12/30
2017/07/14",サイドチャネル攻撃を妨害するための方法およびシステム,クアルコム，インコーポレイテッド,"G06F21/55,380 
G06F21/14"
1084,特願2016-575173,特表2017-525254,"2015/06/18
2015/12/30
-",免許不要スペクトルにおける負荷ベースの機器のための動的な帯域幅管理,クゥアルコム・インコーポレイテッド,H04W16/14
1085,特願2014-118607,特開2015-233188,"2014/06/09
2015/12/24
-",情報処理装置、情報処理方法およびプログラム,ソニー株式会社,"G10L15/00,200@G 
H04N5/76@B 
H04N5/91@Z 
他"
1086,特願2014-119959,特開2015-232847,"2014/06/10
2015/12/24
2017/07/14",検出装置、修正システム、検出方法およびプログラム,株式会社東芝 他,"G06N5/04,580@A 
G06N5/04,580@K 
G06N5/02,120 
他"
1087,特願2016-574096,特表2017-522097,"2015/06/11
2015/12/23
-",自動治療計画のためのシステム及び方法,インパック メディカル システムズ、 インク． 他,A61N5/10@P
1088,特願2014-117106,特開2015-230265,"2014/06/05
2015/12/21
-",粒状物外観品位判別装置における品位判別基準の作成方法,株式会社サタケ,"G01B11/02@H 
G01B11/24@K 
G01B11/28@H 
他"
1089,特願2017-518040,特表2017-529635,"2015/06/13
2015/12/17
-",仮想および拡張現実を作成する方法およびシステム,マジック リープ， インコーポレイテッド,"G06T19/00,300@B"
1090,特願2016-572723,特表2017-519300,"2015/06/10
2015/12/17
-",ソフトウェアアナリティクスのためのシステム及び方法,ザ・チャールズ・スターク・ドレイパー・ラボラトリー・インコーポレイテッド,"G06F11/36,104 
G06F21/57,370 
G06F9/06,620@A 
他"
1091,特願2016-527799,再表2015/190446,"2015/06/08
2015/12/17
2016/10/07",マルウェア判定器、マルウェア判定システム、マルウェア判定方法、プログラム,日本電信電話株式会社,"G06F21/56,360"
1092,特願2014-109453,特開2015-225469,"2014/05/27
2015/12/14
-",画像処理装置、画像処理方法、及びプログラム,キヤノン株式会社,"G06T7/00,300@F 
G06T7/00,350@B"
1093,特願2016-571289,特表2017-520415,"2015/05/15
2015/12/10
-",ロボットをプログラムする方法およびシステム,アルティミンズ ロボティクス ゲーエムベーハー,"B25J9/22@A 
B25J13/00@Z"
1094,特願2016-571165,特表2017-518940,"2015/06/03
2015/12/10
-",搬送デバイスの移動を制御する方法、システムおよび装置,オカド・イノベーション・リミテッド,"B65G1/04,551 
B65G1/137@Z 
G05D1/02@P"
1095,特願2014-103614,特開2015-217486,"2014/05/19
2015/12/07
-",判定装置、判定方法、および判定プログラム,富士通株式会社,B25J13/08@Z
1096,特願2014-100018,特開2015-216939,"2014/05/13
2015/12/07
2018/07/06",白内障検査装置および白内障判定プログラム,株式会社三城ホールディングス 他,"A61B3/10@Z 
A61B3/14@Z"
1097,特願2015-116901,特開2015-215906,"2015/06/09
2015/12/03
2016/08/12",偽陽性を減少させるために複数のインラインヒューリスティックを使用するためのシステムおよび方法,シマンテック コーポレーション,"G06N99/00,150 
G06F21/56"
1098,特願2017-514253,特表2017-519226,"2014/05/23
2015/11/26
-",溶血検出方法およびシステム,ノヴァ バイオメディカル コーポレイション,"G01N27/02@Z 
G01N33/49@B 
G01N33/49@G"
1099,特願2016-567229,特表2017-522061,"2015/05/13
2015/11/19
-",物体の識別,エスワイエヌシー‐アールエックス、リミテッド,"A61B6/12 
A61B6/00,350@A 
A61B6/00,370 
他"
1100,特願2016-567582,特表2017-521051,"2015/05/13
2015/11/19
2017/09/29",甲状腺腫瘍の分類におけるｍｉＲＮＡ発現シグネチャー,ロゼッタ ゲノミックス エルティーディー．,"C12N15/00@A 
C12Q1/68@A 
A61K47/48 
他"
1101,特願2016-567798,特表2017-518570,"2015/05/04
2015/11/19
-",視覚的対話型検索,センティエント テクノロジーズ （バルバドス） リミテッド,"G06F17/30,350@C 
G06F17/30,170@A"
1102,特願2015-115532,特許5816771,"2015/06/08
2015/11/18
2015/10/02",学習装置ユニット,株式会社Ｐｒｅｆｅｒｒｅｄ Ｎｅｔｗｏｒｋｓ,"G06N3/04,154 
G06N3/08"
1103,特願2015-093324,特許5816387,"2015/04/30
2015/11/18
2015/10/02",非線形最適解探索システム,山里 徹,"G06F17/17 
G06N99/00,180 
G06F19/00,120 
他"
1104,特願2014-072837,特開2015-194927,"2014/03/31
2015/11/05
2017/12/08",対象識別装置,セコム株式会社,"G06T7/00,350@B"
1105,特願2016-515866,再表2015/166675,"2015/01/21
2015/11/05
-",画像処理装置、画像処理方法、およびプログラム,ソニー株式会社,"H04N5/225@A 
G03B17/18@Z 
G02B7/36 
他"
1106,特願2015-512822,再表2015/166606,"2014/12/08
2015/11/05
2015/09/18",自然言語処理システム、自然言語処理方法、および自然言語処理プログラム,楽天株式会社,"G06F17/27,615 
G06F17/27,655"
1107,特願2014-068087,特開2015-191439,"2014/03/28
2015/11/02
2017/06/16",リンク補完装置、リンク補完方法及びリンク補間プログラム,株式会社ＫＤＤＩ研究所 他,"G06F17/30,419@B"
1108,特願2014-064173,特開2015-185149,"2014/03/26
2015/10/22
2018/01/26",機械学習装置、機械学習方法、及びプログラム,日本電気株式会社,"G06N3/00,560@A 
G06N5/04,580@A 
G06T7/00,350@B 
他"
1109,特願2014-062663,特開2015-185034,"2014/03/25
2015/10/22
-",画像認識装置、画像認識方法およびプログラム,キヤノン株式会社,"G06T7/00,300@F 
G06T7/00,350@B 
G06T7/00,510@B 
他"
1110,特願2014-059328,特開2015-182523,"2014/03/21
2015/10/22
2018/04/13",デブリ検出方法,株式会社ＩＨＩ,B64G3/00
1111,特願2015-102581,特開2015-181031,"2015/05/20
2015/10/15
2017/04/21",マルウェアを示すヘッダフィールド属性の識別をコンピュータで実現する方法およびシステム,シマンテック コーポレーション,"G06F21/56,320"
1112,特願2015-122790,特開2015-180966,"2015/06/18
2015/10/15
-",音声処理システム,株式会社東芝,"G10L13/10,113@Z 
G10L13/06,130"
1113,特願2017-504609,特表2017-520864,"2015/04/09
2015/10/15
-",微視的差異からの機械学習を使用する物体の真贋鑑定,エントルピー インコーポレーテッド,"G06T7/00,350@C 
G06F17/30,210@D 
G06F17/30,170@B 
他"
1114,特願2017-504293,特表2017-515622,"2015/04/02
2015/10/15
-",医療装置の存在下での画像解析,エスワイエヌシー‐アールエックス、リミテッド,"A61B6/00,331@E 
A61B6/12 
G06T1/00,290@A 
他"
1115,特願2017-504212,特表2017-512627,"2015/03/30
2015/10/15
-",生物組織の３次元ボリュームを表す画像データを分析する方法,ミーモ アクチエンゲゼルシャフト,A61B3/10@R
1116,特願2017-504211,特表2017-512626,"2015/03/30
2015/10/15
-",生物組織の３次元ボリュームを表す画像データを分析する方法,ミーモ アクチエンゲゼルシャフト,A61B3/10@R
1117,特願2014-057079,特開2015-179212,"2014/03/19
2015/10/08
2017/12/01",コンテンツ提示システム、方法及びプログラム,ＫＤＤＩ株式会社,G09B7/04
1118,特願2016-560570,特表2017-513142,"2015/03/27
2015/10/08
-",クエリの目的に基づいたＳＥＲＰプレゼンテーションの調整,マイクロソフト テクノロジー ライセンシング，エルエルシー,"G06F17/30,360@Z 
G06F17/30,340@A"
1119,特願2014-055097,特開2015-177526,"2014/03/18
2015/10/05
2017/01/06",情報処理装置、情報処理装置の制御方法、及びプログラム,ＮＥＣパーソナルコンピュータ株式会社,"G06F17/30,340@A 
G11B27/00@D 
G11B27/00@E 
他"
1120,特願2014-055093,特開2015-177525,"2014/03/18
2015/10/05
2017/01/06",情報処理装置、情報処理装置の制御方法、及びプログラム,ＮＥＣパーソナルコンピュータ株式会社,"G06F17/30,340@A 
H04N21/475 
H04N21/482"
1121,特願2014-050193,特開2015-176213,"2014/03/13
2015/10/05
2018/11/02",予測システム、予測方法、および予測プログラム,国立大学法人静岡大学,"A61B5/00,101@R 
A61B5/00,101@Z 
G06F19/24 
他"
1122,特願2014-054161,特開2015-173923,"2014/03/17
2015/10/05
2018/11/02",画像処理装置、画像処理方法およびプログラム,キヤノン株式会社,"A61B6/00,350@A 
A61B6/00,360@Z"
1123,特願2014-047431,特開2015-172790,"2014/03/11
2015/10/01
2018/04/20",予測システム、予測方法、および予測プログラム,国立大学法人静岡大学,"G06F19/00,100 
G06N3/00,550@A 
G06N5/04,580@J 
他"
1124,特願2015-025055,特開2015-172736,"2015/02/12
2015/10/01
2018/06/15",音声解析装置およびプログラム,ヤマハ株式会社,"G10L15/10,500@Z 
G06F17/30,170@E 
G06F17/30,210@D 
他"
1125,特願2016-559282,特表2017-513131,"2015/03/24
2015/10/01
-",１つまたは複数のウェブサイトからの商品またはサービスを比較する方法,スカイスキャナー リミテッド,"G06Q30/06,322"
1126,特願2014-047251,特開2015-170342,"2014/03/11
2015/09/28
-",貢献度評価装置及び貢献度評価プログラム,日本電信電話株式会社,"G06Q10/00,140 
G06Q10/00"
1127,特願2014-046924,特開2015-170317,"2014/03/10
2015/09/28
2017/11/24",識別関数特定装置、識別関数特定プログラム、識別関数特定方法および生体認証装置,富士通株式会社,"A61B5/10,320@C 
A61B5/10,320@Z 
A61B5/10,322 
他"
1128,特願2014-045953,特開2015-170241,"2014/03/10
2015/09/28
2017/10/06",多言語文書分類プログラム及び情報処理装置,富士ゼロックス株式会社,"G06F17/30,170@A 
G06F17/30,210@D"
1129,特願2014-044002,特開2015-170094,"2014/03/06
2015/09/28
2018/03/16",翻訳装置及び翻訳方法,株式会社ＮＴＴドコモ,"G06F17/28@C 
G06F17/28@Z 
G06N3/00,560@A 
他"
1130,特願2014-044298,特開2015-167905,"2014/03/06
2015/09/28
2017/09/08",配達物区分処理システム、および配達物区分処理方法,株式会社東芝,"B07C3/14 
G06K9/00@H"
1131,特願2015-103180,特開2015-167041,"2015/05/20
2015/09/24
2016/09/23",機械学習モデル設計支援装置、機械学習モデル設計支援方法、機械学習モデル設計支援装置用プログラム,大澤 昇平,"G06N99/00,150 
G06N3/063 
G06Q30/06 
他"
