項番,出願番号,文献番号,"出願日
公知日
登録日",発明の名称,出願人,FI
50,特願2017-065914,特開2018-169752,"2017/03/29
2018/11/01
-",商品認識システム、学習済みモデル、及び商品認識方法,パナソニックＩＰマネジメント株式会社,"G06T7/00,350@C 
G07G1/00,311@D"
51,特願2017-065050,特開2018-169695,"2017/03/29
2018/11/01
-",機械学習装置、サーボ制御装置、サーボ制御システム、及び機械学習方法,ファナック株式会社,"G05B11/32@F 
G05B13/02@L"
52,特願2017-064657,特開2018-169672,"2017/03/29
2018/11/01
-",教師画像を生成する方法、コンピュータおよびプログラム,三菱電機インフォメーションシステムズ株式会社,"G06T7/00,350@B 
G06T3/40,725"
53,特願2018-050623,特開2018-169390,"2018/03/19
2018/11/01
-",染色体異常判定装置,ＪＦＥテクノリサーチ株式会社,"G01N21/27@E 
G01N33/48@P 
G01N33/50@P 
他"
54,特願2017-064774,特開2018-167424,"2017/03/29
2018/11/01
-",状態判定装置,ファナック株式会社,"B29C45/76 
B22D17/32@J"
55,特願2017-065651,特開2018-167165,"2017/03/29
2018/11/01
-",有機性廃棄物処理方法及び有機性廃棄物処理システム,水ｉｎｇ株式会社,"C02F11/04@A 
B09B3/00@C 
C02F3/28@Z"
56,特願2018-042975,特開2018-165983,"2018/03/09
2018/10/25
-",顔認証方法及び装置,三星電子株式会社,"G06T7/00,510@F 
G06F21/32"
57,特願2017-255032,特開2018-165979,"2017/12/28
2018/10/25
-",情報処理装置、情報処理方法、及びプログラム,株式会社ＳＹＭＢＯＬ 他,"G06Q30/02,480 
A43D1/00 
G06Q10/04"
58,特願2017-063009,特開2018-165911,"2017/03/28
2018/10/25
-",識別システム、識別方法及びプログラム,日本電気株式会社,"G06T7/00,530 
A61B5/10,364 
G06T7/00,350@B 
他"
59,特願2017-062869,特開2018-165893,"2017/03/28
2018/10/25
-",作業支援装置、作業支援方法、及び作業支援プログラム,日本電気株式会社,"G06Q50/04 
G05B19/418@Z"
60,特願2017-063257,特開2018-164615,"2017/03/28
2018/10/25
-",睡眠深度判定システム、睡眠深度判定装置及び睡眠深度判定方法,国立大学法人大阪大学,"A61B5/16 
A61B5/10,310@A 
A61B5/11"
61,特願2017-562380,特許6410162,"2017/07/24
2018/10/24
2018/10/05",運転支援装置、運転支援方法およびプログラム,有限会社 波多野巌松堂書店,"B60W50/12 
B60W30/00 
B60W50/10 
他"
62,特願2017-061991,特開2018-163622,"2017/03/27
2018/10/18
-",製造不良原因の探索支援方法及び情報処理装置,国立大学法人鳥取大学,"G06Q50/04 
G06F17/30,180@A"
63,特願2017-061412,特開2018-163586,"2017/03/27
2018/10/18
-",学習プログラム、学習方法および学習装置,富士通株式会社,"G06F17/30,220@Z 
G06F17/30,170@A 
G06F17/30,350@C 
他"
64,特願2017-060351,特開2018-163524,"2017/03/27
2018/10/18
-",画像処理システム及び画像処理を行うためのコンピュータープログラム,株式会社日立ハイテクノロジーズ,"G06T7/00,350@B"
65,特願2017-059629,特開2018-163474,"2017/03/24
2018/10/18
-",照合装置、カード発行機,大日本印刷株式会社,"G06K9/66 
G06K9/20,340@K"
66,特願2017-058719,特開2018-163394,"2017/03/24
2018/10/18
-",学習方法、学習装置、学習プログラム、検索方法、検索装置及び検索プログラム,富士通株式会社,"G06N99/00,153 
G06F17/30,120@A 
G09C1/00,660@D"
67,特願2017-224454,特開2018-161462,"2017/11/22
2018/10/18
-",情報処理方法、情報処理装置、及びプログラム,パナソニックＩＰマネジメント株式会社,"A61B5/00,101@K 
A61B5/01,350"
68,特願2017-090802,特許6408063,"2017/04/28
2018/10/17
2018/09/28",複数のセンサを備える工作機械の主軸ヘッドの故障検出装置,ファナック株式会社,"B23Q17/00@A 
G01N27/12@B 
B23B19/02@Z 
他"
69,特願2017-056205,特開2018-160971,"2017/03/22
2018/10/11
-",車両用蓄電装置,株式会社デンソー,"B60L3/00@S 
H02J7/00@P 
H02J7/00@A 
他"
70,特願2017-057900,特開2018-160172,"2017/03/23
2018/10/11
-",マルウェア判定方法、マルウェア判定装置及びマルウェア判定プログラム,日本電気株式会社,"G06F21/56,320 
G06F17/30,210@D 
G06F17/30,350@C 
他"
71,特願2017-056350,特開2018-160049,"2017/03/22
2018/10/11
-",画像認識装置,パナソニックＩＰマネジメント株式会社,"G06T7/00@C 
G01S17/89 
G06T7/00,300@F"
72,特願2017-055505,特開2018-159992,"2017/03/22
2018/10/11
-",パラメータ調整装置、学習システム、パラメータ調整方法、およびプログラム,株式会社東芝 他,G06N3/08
73,特願2017-058203,特開2018-159881,"2017/03/23
2018/10/11
-",予測装置及び予測方法,株式会社リクルートホールディングス,"G09B7/04 
G09B19/00@H 
G09B5/12 
他"
74,特願2017-056064,特開2018-158284,"2017/03/22
2018/10/11
-",データベースの製造方法、及び水処理又は汚泥処理システム,水ｉｎｇ株式会社,"C02F1/00@V 
C02F11/00@Z"
75,特願2017-058307,特開2018-158052,"2017/03/24
2018/10/11
-",運動解析装置、運動解析システム、運動解析方法及びプログラム,カシオ計算機株式会社,"A63B69/36,541@P 
A63B69/36 
A63B69/36,541@W"
76,特願2018-525632,特許6404527,"2016/11/30
2018/10/10
2018/09/21",カメラ制御システム、カメラ制御方法、およびプログラム,株式会社オプティム,"H04N5/232 
H04N7/18@E 
H04N5/232,290 
他"
77,特願2018-505503,特許6403920,"2017/11/17
2018/10/10
2018/09/21",３次元空間監視装置、３次元空間監視方法、及び３次元空間監視プログラム,三菱電機株式会社,B25J19/06
78,特願2017-054320,特開2018-157482,"2017/03/21
2018/10/04
-",ゲートウェイ装置及びその制御方法、並びにプログラム,ＫＤＤＩ株式会社,"H04L12/66@Z 
G06N99/00,150"
